"DATE","TIME PERIOD","CPI deflated EER-41/Euro (EXR.M.E03.EUR.ERC0.A)"
"1993-01-31","1993Jan","112.9244"
"1993-02-28","1993Feb","112.1293"
"1993-03-31","1993Mar","110.5714"
"1993-04-30","1993Apr","111.5949"
"1993-05-31","1993May","110.9327"
"1993-06-30","1993Jun","108.9649"
"1993-07-31","1993Jul","104.9174"
"1993-08-31","1993Aug","103.3360"
"1993-09-30","1993Sep","105.6800"
"1993-10-31","1993Oct","104.8738"
"1993-11-30","1993Nov","102.3400"
"1993-12-31","1993Dec","101.8365"
"1994-01-31","1994Jan","102.0887"
"1994-02-28","1994Feb","102.5134"
"1994-03-31","1994Mar","104.0091"
"1994-04-30","1994Apr","104.3812"
"1994-05-31","1994May","105.5984"
"1994-06-30","1994Jun","105.6610"
"1994-07-31","1994Jul","108.0459"
"1994-08-31","1994Aug","107.8091"
"1994-09-30","1994Sep","107.8962"
"1994-10-31","1994Oct","109.1124"
"1994-11-30","1994Nov","107.6741"
"1994-12-31","1994Dec","106.1045"
"1995-01-31","1995Jan","107.5037"
"1995-02-28","1995Feb","108.4528"
"1995-03-31","1995Mar","110.5711"
"1995-04-30","1995Apr","110.6126"
"1995-05-31","1995May","109.4115"
"1995-06-30","1995Jun","109.5018"
"1995-07-31","1995Jul","110.4500"
"1995-08-31","1995Aug","109.0331"
"1995-09-30","1995Sep","108.2311"
"1995-10-31","1995Oct","109.6636"
"1995-11-30","1995Nov","110.1136"
"1995-12-31","1995Dec","109.3059"
"1996-01-31","1996Jan","108.8663"
"1996-02-29","1996Feb","108.5664"
"1996-03-31","1996Mar","108.1369"
"1996-04-30","1996Apr","107.0474"
"1996-05-31","1996May","106.0867"
"1996-06-30","1996Jun","106.2925"
"1996-07-31","1996Jul","107.2938"
"1996-08-31","1996Aug","107.8978"
"1996-09-30","1996Sep","106.9872"
"1996-10-31","1996Oct","106.0765"
"1996-11-30","1996Nov","106.1977"
"1996-12-31","1996Dec","104.8000"
"1997-01-31","1997Jan","102.9320"
"1997-02-28","1997Feb","99.9431"
"1997-03-31","1997Mar","98.8583"
"1997-04-30","1997Apr","97.9548"
"1997-05-31","1997May","97.6614"
"1997-06-30","1997Jun","96.0824"
"1997-07-31","1997Jul","93.5429"
"1997-08-31","1997Aug","92.7257"
"1997-09-30","1997Sep","95.3568"
"1997-10-31","1997Oct","96.6303"
"1997-11-30","1997Nov","98.0543"
"1997-12-31","1997Dec","98.0693"
"1998-01-31","1998Jan","97.3621"
"1998-02-28","1998Feb","96.3135"
"1998-03-31","1998Mar","95.2585"
"1998-04-30","1998Apr","95.6972"
"1998-05-31","1998May","98.0849"
"1998-06-30","1998Jun","98.2567"
"1998-07-31","1998Jul","97.9584"
"1998-08-31","1998Aug","99.1975"
"1998-09-30","1998Sep","102.6077"
"1998-10-31","1998Oct","104.3747"
"1998-11-30","1998Nov","102.1013"
"1998-12-31","1998Dec","102.4653"
"1999-01-31","1999Jan","101.6984"
"1999-02-28","1999Feb","99.9463"
"1999-03-31","1999Mar","98.3553"
"1999-04-30","1999Apr","97.0993"
