"Libellé";"idBank";"Dernière mise à jour";"Période";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - France entière - Série arrêtée";"010055109";"07/03/2019 12:01";"";"30336";"31350";"32012";"34067";"34394";"35096";"33646";"36559";"39179";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Guadeloupe - Série arrêtée";"010055221";"07/03/2019 12:01";"";"36";"36";"25";"38";"34";"39";"49";"65";"60";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Martinique - Série arrêtée";"010055222";"07/03/2019 12:01";"";"27";"28";"26";"31";"43";"46";"31";"34";"41";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Guyane - Série arrêtée";"010055223";"07/03/2019 12:01";"";"13";"13";"14";"14";"20";"14";"15";"20";"23";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Reunion - Série arrêtée";"010055224";"07/03/2019 12:01";"";"55";"55";"51";"49";"56";"59";"57";"71";"75";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nombre d'arrivées - Résidents - dans l'hôtellerie - France entière - Série arrêtée";"010054996";"07/03/2019 12:01";"";"77733";"80430";"80102";"78661";"76972";"78823";"80248";"82800";"82169";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Guadeloupe - Série arrêtée";"010055216";"07/03/2019 12:01";"";"271";"290";"292";"299";"253";"237";"230";"274";"295";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Martinique - Série arrêtée";"010055217";"07/03/2019 12:01";"";"274";"267";"265";"275";"232";"237";"240";"286";"310";"";"";"";"";""
