"idBank";"Dernière mise à jour";"Périodicité";"Puissance";"IDBANK pour sdmx";"Correction";"Activité";"Indicateur";"Unité";"﻿Base de l'indice";"Nature";"Zone géographique"
"010775162";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"Services de soutien aux entreprises (M et N)";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774858";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"Ensemble des services (NAF rév. 2, H+I+J+L+M+N+R+S)";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774492";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"Services divers à la personne, hors activités des organisations associatives (R+S, hors 94)";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774721";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"49.10 - Transport ferroviaire interurbain de voyageurs";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774507";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"49.20 - Transports ferroviaires de fret";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774512";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"49.31 - Transports urbains et suburbains de voyageurs";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775300";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"49.32 - Transports de voyageurs par taxis";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774785";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"49.39 - Autres transports terrestres de voyageurs n.c.a.";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774511";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"49.41 - Transports routiers de fret";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774332";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"49.42 - Services de déménagement";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
