"Libellé";"idBank";"Dernière mise à jour";"Période";"2018";"2019";"2020";"2021";"2022"
"Taux de départ en voyages personnels (%) – Série arrêtée";"010758192";"20/05/2022 14:55";"";"79";"79";"71";"78";""
"Codes";"";"";"";"A";"A";"A";"A";""
"Nombre de voyages";"010758193";"06/06/2023 15:00";"";"245.7";"245.9";"163.6";"200.4";"229.4"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages à destination de la France métropolitaine ou des DOM";"010758194";"06/06/2023 15:00";"";"208.9";"207.6";"152.1";"187.3";"202.1"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages à l’étranger, à destination de l’Europe (Union Européenne + AELE)";"010758195";"06/06/2023 15:00";"";"25.8";"26.0";"8.3";"11.1";"20.5"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages à destination de l’étranger hors Europe";"010758196";"06/06/2023 15:00";"";"11.0";"12.3";"3.1";"2.0";"6.8"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel";"010758197";"06/06/2023 15:00";"";"213.9";"214.3";"148.1";"181.9";"206.3"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif professionnel ou mixte";"010758198";"06/06/2023 15:00";"";"31.8";"31.7";"15.5";"18.6";"23.1"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel - hébergement principal : hôtel";"010758199";"06/06/2023 15:00";"";"40.7";"41.8";"19.3";"23.6";"36.7"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel - hébergement principal : location, gîte ou chambre d'hôte";"010758200";"06/06/2023 15:00";"";"28.7";"29.5";"19.9";"24.9";"29.7"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel - hébergement principal : camping";"010758201";"06/06/2023 15:00";"";"11.6";"11.9";"7.8";"10.4";"11.5"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel - hébergement principal : résidence secondaire du foyer";"010758202";"06/06/2023 15:00";"";"15.6";"15.6";"12.9";"14.0";"14.4"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel - hébergement principal : famille, amis";"010758203";"06/06/2023 15:00";"";"102.0";"101.1";"78.7";"98.0";"100.8"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel - hébergement principal : autre hébergement payant";"010758204";"06/06/2023 15:00";"";"11.3";"10.2";"6.9";"8.0";"10.1"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel - hébergement principal : autre hébergement non payant";"010758205";"06/06/2023 15:00";"";"4.0";"4.0";"2.7";"2.9";"3.0"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif professionnel ou mixte - hébergement principal marchand";"010758206";"06/06/2023 15:00";"";"25.2";"25.7";"11.7";"14.5";"19.2"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif professionnel ou mixte - hébergement principal non marchand";"010758207";"06/06/2023 15:00";"";"6.6";"6.0";"3.8";"4.0";"3.9"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel - Mode de transport principal : route (voiture + camping car)";"010758208";"06/06/2023 15:00";"";"159.6";"158.0";"121.4";"148.0";"157.5"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel - Autres modes de transport principal";"010758209";"06/06/2023 15:00";"";"54.3";"56.3";"26.7";"33.9";"48.8"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif professionnel ou mixte - Mode de transport principal : route (voiture + camping car)";"010758210";"06/06/2023 15:00";"";"14.1";"13.6";"7.9";"9.4";"9.9"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif professionnel ou mixte - Autres modes de transport principal";"010758211";"06/06/2023 15:00";"";"17.7";"18.1";"7.6";"9.2";"13.2"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées";"010758236";"06/06/2023 15:00";"";"1232.9";"1194.3";"849.3";"961.3";"1080.0"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées à destination de la France métropolitaine ou des DOM";"010758237";"06/06/2023 15:00";"";"969.5";"922.0";"768.3";"865.3";"889.6"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées à l’étranger, à destination de l’Europe (Union Européenne + AELE)";"010758238";"06/06/2023 15:00";"";"156.1";"153.2";"50.6";"74.6";"123.8"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées à destination de l’étranger hors Europe";"010758239";"06/06/2023 15:00";"";"107.3";"119.0";"30.5";"21.3";"66.7"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif personnel";"010758240";"06/06/2023 15:00";"";"1138.5";"1100.8";"800.5";"908.7";"1015.5"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif professionnel ou mixte";"010758241";"06/06/2023 15:00";"";"94.4";"93.5";"48.8";"52.6";"64.5"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif personnel - Hébergements : hôtel";"010758242";"06/06/2023 15:00";"";"183.2";"188.5";"75.4";"92.6";"150.5"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif personnel - Hébergements : location, gîte ou chambre d'hôte";"010758243";"06/06/2023 15:00";"";"192.2";"189.4";"134.8";"157.4";"180.8"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif personnel - Hébergements : camping";"010758244";"06/06/2023 15:00";"";"93.8";"92.4";"64.5";"78.1";"84.7"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif personnel - Hébergements : résidence secondaire du foyer";"010758245";"06/06/2023 15:00";"";"131.9";"125.8";"112.4";"113.1";"117.3"
"Codes";"";"";"";"A";"A";"A";"A";"A"
