"Libellé";"idBank";"Dernière mise à jour";"Période";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12";"2020-01";"2020-02";"2020-03";"2020-04";"2020-05";"2020-06";"2020-07";"2020-08";"2020-09";"2020-10";"2020-11";"2020-12";"2021-01";"2021-02";"2021-03";"2021-04";"2021-05";"2021-06";"2021-07";"2021-08";"2021-09";"2021-10";"2021-11";"2021-12";"2022-01";"2022-02";"2022-03";"2022-04";"2022-05";"2022-06";"2022-07";"2022-08";"2022-09";"2022-10";"2022-11";"2022-12"
"Taux de départ en voyages (%)";"010758172";"06/06/2023 15:01";"";"25";"23";"25";"31";"35";"28";"38";"47";"30";"29";"24";"31";"23";"25";"25";"34";"29";"33";"36";"48";"29";"29";"24";"32";"24";"27";"15";"2";"8";"20";"34";"45";"25";"24";"6";"24";"17";"19";"15";"11";"28";"25";"36";"45";"28";"27";"25";"31";"20";"25";"22";"30";"33";"29";"37";"46";"27";"28";"24";"32"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Taux de départ en voyages personnels (%)";"010758173";"06/06/2023 15:01";"";"22";"21";"22";"29";"32";"25";"36";"46";"27";"26";"21";"29";"21";"23";"22";"31";"26";"30";"34";"47";"27";"25";"21";"30";"21";"24";"13";"1";"7";"19";"33";"44";"23";"22";"5";"23";"16";"18";"14";"10";"26";"23";"34";"45";"26";"24";"23";"30";"19";"24";"20";"28";"31";"26";"35";"45";"25";"25";"22";"30"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de voyages";"010758175";"06/06/2023 15:01";"";"16.4";"15.2";"16.7";"20.9";"23.9";"19.2";"25.3";"32.1";"20.7";"19.2";"15.9";"20.3";"15.4";"16.3";"17.0";"21.9";"19.5";"22.8";"24.2";"32.2";"19.8";"19.2";"16.6";"21.0";"15.1";"16.8";"8.7";"1.2";"5.0";"13.3";"22.8";"29.7";"16.4";"15.5";"3.9";"15.1";"11.2";"12.2";"9.8";"7.3";"18.2";"16.7";"22.9";"30.2";"18.4";"17.7";"16.1";"19.9";"13.4";"15.9";"14.5";"19.1";"22.0";"19.5";"23.7";"29.7";"17.9";"17.6";"16.0";"20.1"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de voyages à destination de la France métropolitaine ou des DOM";"010758176";"06/06/2023 15:01";"";"14.5";"13.0";"14.1";"17.3";"19.9";"16.4";"22.0";"27.0";"17.4";"15.6";"13.4";"18.4";"13.4";"14.1";"14.3";"18.2";"15.8";"19.5";"20.6";"27.1";"16.4";"15.5";"13.9";"18.8";"13.2";"14.3";"7.3";"1.1";"5.0";"12.9";"21.7";"28.1";"15.5";"14.8";"3.7";"14.6";"10.8";"12.0";"9.6";"7.0";"17.7";"15.8";"21.4";"27.5";"16.6";"15.8";"14.3";"18.9";"12.5";"14.4";"13.2";"16.5";"18.9";"17.3";"21.0";"25.7";"15.2";"14.9";"13.9";"18.6"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de voyages à destination de l’étranger ou des COM";"010758177";"06/06/2023 15:01";"";"1.9";"2.1";"2.6";"3.5";"4.1";"2.8";"3.3";"5.1";"3.4";"3.5";"2.4";"2.0";"2.0";"2.1";"2.7";"3.7";"3.7";"3.3";"3.6";"5.1";"3.5";"3.7";"2.7";"2.2";"1.9";"2.5";"1.4";"0.1";"0.1";"0.4";"1.1";"1.6";"1.0";"0.7";"0.2";"0.5";"0.3";"0.2";"0.2";"0.3";"0.5";"0.8";"1.5";"2.8";"1.8";"1.9";"1.8";"1.0";"0.9";"1.4";"1.3";"2.6";"3.1";"2.3";"2.7";"4.0";"2.6";"2.8";"2.2";"1.5"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de nuitées";"010758184";"06/06/2023 15:01";"";"68.4";"59.4";"72.5";"87.1";"103.4";"77.2";"157.0";"271.8";"117.7";"83.0";"62.6";"72.8";"61.7";"64.9";"66.4";"92.8";"80.7";"88.5";"147.2";"266.8";"109.0";"79.9";"59.4";"76.9";"59.8";"69.4";"38.9";"5.9";"22.4";"52.2";"131.5";"237.3";"87.9";"66.2";"16.3";"61.4";"43.0";"42.7";"35.8";"28.6";"67.2";"63.5";"143.7";"238.5";"96.9";"68.4";"59.2";"73.7";"50.7";"63.1";"53.0";"77.5";"86.3";"74.7";"142.1";"236.6";"93.6";"72.6";"56.5";"73.2"
